anchorUserID,username,type,orderTime,content,anchor,,,,,,,,,
235,认养***业店,直播,2019.03.13,很好,薇娅viya,,,,,,,,,
236,jd****mr,直播,2019.03.11,很好,薇娅viya,,,,,,,,,
237,xy***19,直播,2019.03.10,好,薇娅viya,,,,,,,,,
238,a1***59,直播,2019.03.09,女王节非常给力，期待下一次合作机会,薇娅viya,,,,,,,,,
239,御美***方1,直播,2019.03.06,薇娅姐姐，真的超厉害呢~,薇娅viya,,,,,,,,,
240,白羊***日出,直播,2019.03.06,非常棒，不愧为TOP1主播,薇娅viya,,,,,,,,,
241,jd****mr,直播,2019.03.05,666，女神，完美，好到极致，跟着薇娅姐有肉吃·~哈哈··,薇娅viya,,,,,,,,,
242,a1***59,直播,2019.03.05,非常好，美妆节太给力了，期待下次合作,薇娅viya,,,,,,,,,
243,tb***71,直播,2019.03.05,非常好,薇娅viya,,,,,,,,,
244,tb***60,直播,2019.03.04,很满意，期待下次合作,薇娅viya,,,,,,,,,
245,御美***方1,直播,2019.03.04,超级厉害的薇娅姐~一如既往的好,薇娅viya,,,,,,,,,
246,谦*机,直播,2019.03.02,很好，很专业，主播讲解也很详细！非常好！,薇娅viya,,,,,,,,,
247,阿林***林店,直播,2019.02.28,好的,薇娅viya,,,,,,,,,
248,小龙***15,直播,2019.02.28,效果非常的好,薇娅viya,,,,,,,,,
249,jd****mr,直播,2019.02.26,好,薇娅viya,,,,,,,,,
250,御美***方1,直播,2019.02.26,很好~薇娅姐姐一如既往的棒,薇娅viya,,,,,,,,,
251,神手***16,直播,2019.02.22,非常好，谢谢主播，谢谢谦寻机构,薇娅viya,,,,,,,,,
252,银*川,直播,2019.02.20,每一次的效果都超乎想象，期待再一次的合作！！！,薇娅viya,,,,,,,,,
253,jd****mr,直播,2019.01.29,产品介绍和卖点抓取很好，带货能力惊人，不愧是top主播,薇娅viya,,,,,,,,,
254,ml***jv,直播,2019.01.28,合作愉快,薇娅viya,,,,,,,,,
255,a1***59,直播,2019.01.17,很好，期待能有下一次合作,薇娅viya,,,,,,,,,
256,非常***科技,直播,2019.01.07,很棒，期待下次合作机会,薇娅viya,,,,,,,,,
257,银*川,直播,2019.01.03,简直是太爆炸了，女神，厉害厉害,薇娅viya,,,,,,,,,
258,ro***中国,直播,2019.01.03,依旧超高转化率。专业敬业。继续支持薇娅女神,薇娅viya,,,,,,,,,
